VEC mean,APE mean,Electronegativity local mismatch,Shear modulus delta,Shear modulus mean,Mixing enthalpy,Shear modulus strength model,Nb,Mo,Radii gamma,Yang omega,Electronegativity delta,Lambda entropy,Ta,Shear modulus local mismatch,Configuration entropy,Yang delta,W,Radii local mismatch,Mean cohesive energy,Total weight,Atomic weight mean,SFE
5.51,-0.0108871514531101,0.187065,0.477325325245871,102.5823,7.210800000000001,-0.1167862694392277,22,6,1.0440965224205654,4.6637679829726295,0.0831302047784334,-9.879861253527734,27,26.338707,-0.0100995246490397,0.0319723857324656,45,2.3838,8.2666,15777.97312,157.7809312,1.4841
5.32,0.0151753713490623,0.147525,0.6106176130086559,71.1156,5.776,-0.1223281620981688,56,19,1.0438993902523712,4.950901786520362,0.0730060617887206,-20.50929488550311,12,22.150488,-0.0096433888017905,0.0216840037519315,13,1.534,7.664,11586.91184,115.8729184,1.2479
5.95,-0.0035691766813866,0.0641849999999999,0.2026833665474106,134.8875,1.346,-0.0272511927876729,4,34,1.0444324180705598,17.610183815279107,0.0354793273224698,-22.488387348777508,1,12.286635,-0.0070097227598974,0.0176551440045852,61,1.1614,8.1316,15028.7734,150.294534,1.651
5.37,-0.0200322439230597,0.1509000000000001,0.3223234424153255,88.7721,5.079999999999999,-0.0393817128674391,1,29,1.043787098445899,4.735703390243027,0.0718120097663545,-12.778535414307871,62,14.032802999999998,-0.0075114974123514,0.0242450297041835,8,1.698,7.7875,15564.65494,155.65234940000002,1.3263
5.159999999999999,0.0109764344553246,0.09648,0.6469595752677528,60.0828,3.9168,-0.1171752076713841,66,4,1.043809498768728,6.083199149554927,0.0630393165827877,-19.203385468383672,18,17.263872,-0.0080320769774466,0.0204514936283202,12,1.2552,7.795000000000002,11978.72292,119.7880292,1.1406
5.300000000000002,-0.0080176956458122,0.13704,0.4468190470356246,77.98500000000001,4.948,-0.0839101840963413,25,22,1.0437938155054338,6.466043376900544,0.069666819553181,-20.80155215589589,45,18.48522,-0.010318243062548,0.0222717840022714,8,1.6294000000000002,7.749900000000001,14046.7141,140.47154100000003,1.2565
5.57,-0.0065719464908083,0.177945,0.4251571657598113,100.7061,6.3100000000000005,-0.0914155746397304,18,28,1.044055553201719,5.778938977056919,0.0765596337751719,-14.519312349879554,25,23.816163,-0.0113955945740154,0.0280153124717133,29,2.179,7.8782,14213.69184,142.14251839999997,1.9055
5.32,0.00816374742477,0.1464,0.5612249756037629,73.86359999999999,5.5936,-0.1122782562701222,46,20,1.0438723739291131,5.6693989460263765,0.0725044376125845,-21.10150295877874,22,21.933888000000003,-0.0105307664025015,0.0223394921029907,12,1.636,7.696200000000001,12379.42684,123.7982684,1.2533
5.290000000000001,-0.0265530701864129,0.151665,0.6260535552698869,76.3497,6.1064,-0.1392837160314844,49,4,1.043917424485867,4.904670062932538,0.0779311329382949,-13.196618675141057,22,24.475947,-0.0096274305013328,0.0270099551024606,25,1.9168,7.9891,13513.02598,135.1310598,1.2754
5.7,0.0028212070005935,0.1303650000000001,0.2531888347189973,101.529,4.384,-0.0354517102025454,4,67,1.0439942791562915,4.877000686371527,0.0623668515624758,-17.691123501953474,26,12.1779,-0.0070877755228795,0.0200159989750644,3,1.3412000000000002,7.245200000000001,12055.7704,120.571104,0.8599
