VEC mean,APE mean,Electronegativity local mismatch,Shear modulus delta,Shear modulus mean,Mixing enthalpy,Shear modulus strength model,Nb,Mo,Radii gamma,SFE
5.29,0.0075814249588625,0.1293,0.5250904200199866,68.8497,4.902,-0.0993539677107282,48,25,1.043820709786522,1.2283
5.699999999999999,0.0026332558098436,0.1580849999999999,0.2972660718336558,112.881,4.972,-0.0426265542705838,1,39,1.044114761851601,0.8877
5.23,0.0137026293262138,0.127425,0.6671534091600231,66.17790000000001,5.168800000000001,-0.1335978233441975,63,6,1.0438723739291127,1.1889
5.48,-0.0129952645479525,0.179325,0.4374724853039541,96.3444,6.4224000000000006,-0.0920109706993389,16,21,1.0439806918978114,1.4289
5.2700000000000005,0.0094439742435294,0.14226,0.630893573614499,72.29910000000001,5.6824,-0.1325981568004985,53,7,1.0438903801448305,1.2586
5.369999999999998,-0.0207230277496697,0.1533600000000001,0.5932258985127367,72.35609999999998,5.9948000000000015,-0.1192283565934383,56,27,1.043919680080443,1.2625
5.279999999999999,-0.0103465707442861,0.149085,0.5144135178087358,83.6784,5.7408,-0.1119602605304506,24,3,1.0438543863538654,1.2778
5.74,0.00542629485574,0.1499999999999999,0.2975563440100351,126.7302,5.2384,-0.0502230696340296,2,10,1.0442959042964972,0.8527
5.44,-0.0158344375057589,0.177405,0.5032689522370076,90.7152,6.630400000000001,-0.1133840623207587,28,17,1.0439806918978118,1.39
5.18,-0.0245096523631453,0.109725,0.4484297471623875,79.10940000000001,4.168000000000001,-0.080478108039826,14,1,1.04372899271846,1.1739
5.869999999999999,0.0055580193472241,0.0967199999999999,0.2398414823306441,135.9531,3.1708,-0.0388447340188901,4,13,1.0444370642676284,1.9848
5.85,0.0132530837502966,0.1101599999999999,0.2617040203112509,119.8185,3.128,-0.0416835148065346,5,51,1.044240675379559,0.7994
5.4,-0.0186160390462464,0.172125,0.6445135361233741,78.726,6.928,-0.1402970061727969,58,15,1.0440124119944592,1.3065
5.47,-0.012153375008922,0.1579200000000001,0.3045484492068627,92.4291,5.273999999999999,-0.0395208299488979,2,41,1.0438476458126953,1.4185
5.28,-0.0044716863021481,0.1307250000000001,0.4731219027940609,74.4864,4.7936000000000005,-0.0889522375804038,32,21,1.0437915761964778,1.2325
5.22,0.0187438798615772,0.11646,0.6607830278364967,60.60660000000001,4.6808,-0.1229366537118034,71,12,1.0438521392161046,1.1561
5.53,-0.0071800521074811,0.1592250000000001,0.3038361533982825,95.3169,5.3088,-0.0418059321915578,3,46,1.043894884614897,1.819
5.96,0.0155206726538815,0.0388799999999999,0.1388981412309678,146.33880000000002,1.088,-0.0132724155932873,1,8,1.0445582971225296,1.7645
